Group_function,scale,lc,effect_median,ci_95
Function,regional,Cropland,-0.574,[-2.097; 0.619]
Function,regional,Grassland,-0.091,[-1.439; 0.705]
Function,regional,Woodland,-0.038,[-1.132; 0.755]
Function,continental,Cropland,-0.109,[-1.003; 0.532]
Function,continental,Grassland,0.196,[-0.613; 0.759]
Function,continental,Woodland,-0.229,[-0.968; 0.448]
Richness,regional,Cropland,-0.884,[-2.831; 0]
Richness,regional,Grassland,-0.028,[-1.956; 1.175]
Richness,regional,Woodland,0.076,[-1.002; 0.868]
Richness,continental,Cropland,0.212,[-0.662; 0.911]
Richness,continental,Grassland,0.114,[-0.7; 0.813]
Richness,continental,Woodland,-0.073,[-0.92; 0.572]
Richness,global,Grassland,1.585,[0.328; 3.035]
Richness,global,Shrubland,0.839,[-0.223; 2.295]
Richness,global,Woodland,-1.733,[-4.897; -0.482]
Shannon,regional,Cropland,-0.482,[-1.807; 0.319]
Shannon,regional,Grassland,-0.075,[-1.701; 0.943]
Shannon,regional,Woodland,0.118,[-1.003; 0.888]
Shannon,continental,Cropland,-0.171,[-0.978; 0.386]
Shannon,continental,Grassland,-0.054,[-1.068; 0.568]
Shannon,continental,Woodland,-0.087,[-0.838; 0.481]
Shannon,global,Grassland,1.063,[-0.117; 2.403]
Shannon,global,Shrubland,0.507,[-0.646; 1.756]
Shannon,global,Woodland,-1.705,[-3.839; -0.773]
Dissimilarity,regional,Cropland,0.63,[-1.052; 1.665]
Dissimilarity,regional,Grassland,0.233,[-0.577; 0.824]
Dissimilarity,regional,Woodland,0.004,[-1.16; 0.76]
Dissimilarity,continental,Cropland,-0,[-0.813; 0.541]
Dissimilarity,continental,Grassland,0.098,[-0.762; 0.706]
Dissimilarity,continental,Woodland,0.014,[-0.824; 0.526]
Dissimilarity,global,Grassland,-0.035,[-1.59; 0.943]
Dissimilarity,global,Shrubland,-0.97,[-3.716; 0.047]
Dissimilarity,global,Woodland,1.112,[0.271; 2.103]
