scale,fns,model,loo_comp,elpd_loo,p_loo,looic,se_elpd_loo,se_p_loo,se_looic,elpd_loo_diff,se_loo_diff,elpd_waic,p_waic,waic,se_elpd_waic,se_p_waic,se_waic,r2,r2_se,r2_q2.5,r2_q97.5
global,Soil_carbon_service,intercept,NA,-1093.3570373298412,10.678169638910536,2186.7140746596824,28.05671597348287,3.4701898140447907,56.11343194696574,0,0,-1092.8361523099056,10.157284618975337,2185.6723046198113,28.036865750085806,3.355964380684291,56.07373150017161,0.06612001113826711,0.025652686927767267,0.022985077265907605,0.12250769516651985
global,Soil_carbon_service,slope,similar,-1092.8131929504889,7.512410136680792,2185.6263859009778,27.834570516699113,3.243811775573574,55.669141033398226,-0.5438443793517749,2.233734710139472,-1092.6933968069968,7.392613993188793,2185.3867936139936,27.762289550110214,3.163019946283185,55.52457910022043,0.011128460570690012,0.011601414326902766,2.6890418521840467e-5,0.0419451097837559
global,OM_decomposition_service,intercept,NA,-294.9262613396958,8.433971456387729,589.8525226793917,13.143954397594817,1.3677999174408448,26.287908795189633,0,0,-294.4791732441413,7.986883360833105,588.9583464882826,13.125586977141388,1.1543448289757732,26.251173954282777,0.08188307106634744,0.02863209766287431,0.03210138565690328,0.14301212879015032
global,OM_decomposition_service,slope,similar,-295.87570159490633,3.7345683999056583,591.7514031898127,13.313513303764452,0.6031286496894523,26.627026607528904,-0.9494402552105132,3.0156361761220634,-295.8697042513632,3.728571056362429,591.7394085027264,13.311978982317987,0.6013249378098908,26.623957964635974,0.010086223764986624,0.010997982491401858,1.903714010652677e-5,0.03892133578274013
global,Soil_stability_service,intercept,NA,-1171.2369371621385,7.1252957555621395,2342.473874324277,8.553530042609811,1.1395106185664752,17.107060085219622,0,0,-1170.8032355539774,6.69159414740139,2341.606471107955,8.52723268541888,0.868669887357611,17.05446537083776,0.06435799733760406,0.025161668873231464,0.022335522047855952,0.11925771193426632
global,Soil_stability_service,slope,similar,-1170.5569597899535,2.7093277495088497,2341.113919579907,8.554718846601155,0.2821924597810952,17.10943769320231,-0.6799773721842453,2.662029239727326,-1170.5546822611132,2.707050220667794,2341.1093645222263,8.55450766821811,0.2817579005777504,17.10901533643622,0.004657218581882369,0.006418291327739981,5.456927055474912e-6,0.022962034355838528
global,Nutrient_service,intercept,NA,-218.29069841775376,6.876857823686686,436.5813968355075,11.392034741869734,1.1018739950397292,22.78406948373947,0,0,-217.90010379033268,6.486263196265611,435.80020758066536,11.376309611207127,0.8725678848453389,22.752619222414253,0.10611641659363683,0.0319204570632704,0.048229310413549296,0.17253126159823806
global,Nutrient_service,slope,similar,-223.22273461947486,2.878660533194216,446.4454692389497,11.050024588067673,0.4418596509933416,22.100049176135347,-4.932036201721145,3.5425289223271816,-223.22123832177053,2.8771642354898113,446.44247664354106,11.049809294318777,0.4415766520626828,22.099618588637554,0.009971604409560582,0.011018963327090056,1.7671153908668248e-5,0.03994486752233159
global,Pathogen_control,intercept,NA,805.7792469378131,9.738247605100447,-1611.5584938756263,14.12961646247385,2.227091137187891,28.2592329249477,0,0,806.3885338953168,9.128960647596392,-1612.7770677906335,14.091124782103144,2.0318669955157422,28.182249564206288,0.06926840576918006,0.02628307071891564,0.024468064168181813,0.12651208950263185
global,Pathogen_control,slope,similar,808.7694692800658,3.4250535266460487,-1617.5389385601316,13.949032973920234,0.8086578382981017,27.898065947840468,-2.990222342253004,2.3358695286470965,808.7739295110794,3.4205932956325604,-1617.5478590221587,13.947007285774335,0.8061385558335775,27.89401457154867,0.018780255639906717,0.015616555000880186,1.5800681233151868e-4,0.0576882160119852
